spacing,spacing_square,weight
0.5,0.25,12
0.5,0.25,12.3
0.5,0.25,12.45
0.5,0.25,12.45
0.5,0.25,12.5
0.5,0.25,12.5
0.5,0.25,12.5
0.5,0.25,12.6
0.5,0.25,12.65
0.5,0.25,12.7
0.5,0.25,12.7
0.5,0.25,12.8
0.5,0.25,12.9
0.5,0.25,12.9
0.5,0.25,13
0.5,0.25,13
0.5,0.25,13
0.5,0.25,13.1
0.5,0.25,13.2
0.5,0.25,13.2
0.875,0.765625,12.4
0.875,0.765625,12.8
0.875,0.765625,12.8
0.875,0.765625,12.9
0.875,0.765625,12.9
0.875,0.765625,12.9
0.875,0.765625,12.9
0.875,0.765625,13
0.875,0.765625,13
0.875,0.765625,13
0.875,0.765625,13
0.875,0.765625,13.2
0.875,0.765625,13.2
0.875,0.765625,13.2
0.875,0.765625,13.3
0.875,0.765625,13.4
0.875,0.765625,13.4
0.875,0.765625,13.45
0.875,0.765625,13.45
0.875,0.765625,13.7
1,1,12
1,1,12.8
1,1,12.8
1,1,12.9
1,1,12.9
1,1,13
1,1,13
1,1,13
1,1,13.15
1,1,13.2
1,1,13.2
1,1,13.3
1,1,13.4
1,1,13.4
1,1,13.45
1,1,13.5
1,1,13.6
1,1,13.6
1,1,13.6
1,1,13.7
1.25,1.5625,12.1
1.25,1.5625,12.2
1.25,1.5625,12.25
1.25,1.5625,12.25
1.25,1.5625,12.3
1.25,1.5625,12.3
1.25,1.5625,12.3
1.25,1.5625,12.4
1.25,1.5625,12.5
1.25,1.5625,12.5
1.25,1.5625,12.5
1.25,1.5625,12.6
1.25,1.5625,12.6
1.25,1.5625,12.85
1.25,1.5625,12.9
1.25,1.5625,12.9
1.25,1.5625,13
1.25,1.5625,13.1
1.25,1.5625,13.15
1.25,1.5625,13.25
