Cutting Speed,Tool Life,ln(Cutting Speed),ln(Tool Life)
800,1,6.6846117277,0
800,0.9,6.6846117277,-0.105360516
800,0.74,6.6846117277,-0.301105093
800,0.66,6.6846117277,-0.415515444
700,1,6.551080335,0
700,1.2,6.551080335,0.1823215568
700,1.5,6.551080335,0.4054651081
700,1.6,6.551080335,0.4700036292
600,2.35,6.3969296552,0.8544153282
600,2.65,6.3969296552,0.97455964
600,3,6.3969296552,1.0986122887
600,3.6,6.3969296552,1.2809338455
500,6.4,6.2146080984,1.8562979904
500,7.8,6.2146080984,2.0541237337
500,9.8,6.2146080984,2.2823823857
500,16.5,6.2146080984,2.8033603809
400,21.5,5.9914645471,3.0680529351
400,24.5,5.9914645471,3.1986731176
400,26,5.9914645471,3.258096538
400,33,5.9914645471,3.4965075615
